# length,centers=4880,roads=4879,wlines=4879,trees=4879
# center_x,center_y,road_x0,road_y0,road_x1,road_y1,line_x0,line_y0,line_x1,line_y1,tree_fg,tree_x,tree_y,tree_r,tree_col
138527400.87037453,46125238.77806563,138527389.73068485,46125277.19560478,138527412.0100642,46125200.36052648,138527400.31339005,46125240.69894259,138527401.427359,46125236.85718867,0,0,0,0,0
138527426.33969036,46125246.163241275,138527415.21832976,46125284.586090446,138527437.46105096,46125207.740392104,138527425.78362232,46125248.08438373,138527426.8957584,46125244.242098816,0,0,0,0,0
138527451.8094447,46125253.53537345,138527440.66101253,46125291.95037651,138527462.95787686,46125215.12037039,138527451.2520231,46125255.456123605,138527452.3668663,46125251.61462329,0,0,0,0,0
138527477.26369432,46125260.9224606,138527466.0427398,46125299.31634267,138527488.48464882,46125222.528578535,138527476.70264658,46125262.842154704,138527477.82474205,46125259.0027665,0,0,0,0,0
138527502.68649608,46125268.35250119,138527491.34748974,46125306.71168438,138527514.0255024,46125229.993318,138527502.11954576,46125270.27046035,138527503.2534464,46125266.43454203,1,138527566.7518819,46125051.62311615,27,0
138527528.06190696,46125275.853493676,138527516.5592164,46125314.16391145,138527539.56459752,46125237.543075904,138527527.48677245,46125277.76901457,138527528.63704148,46125273.937972784,0,0,0,0,0
138527553.37398377,46125283.45343655,138527541.66185775,46125321.70034628,138527565.0861098,46125245.20652682,138527552.78837746,46125285.36578204,138527553.95959008,46125281.54109107,0,0,0,0,0
138527578.60678342,46125291.18032826,138527566.6393462,46125329.34812157,138527590.57422063,46125253.012534946,138527578.00841156,46125293.08871792,138527579.20515528,46125289.27193859,0,0,0,0,0
138527603.74436268,46125299.06216725,138527591.47562325,46125337.13417839,138527616.0131021,46125260.99015611,138527603.13092571,46125300.96576781,138527604.35779965,46125297.15856669,1,138527702.50771523,46124992.582477555,49,4
138527628.77077857,46125307.12695202,138527616.15465724,46125345.08526446,138527641.3868999,46125269.168639585,138527628.1399725,46125309.02486765,138527629.40158463,46125305.2290364,0,0,0,0,0
138527653.67008787,46125315.40268102,138527640.66822878,46125353.23060273,138527666.67194697,46125277.57475932,138527653.0199949,46125317.294077106,138527654.32018083,46125313.51128494,0,0,0,0,0
138527678.42903945,46125323.912596054,138527665.27663222,46125361.68843733,138527691.58144668,46125286.13675478,138527677.77141908,46125325.801388115,138527679.08665982,46125322.023803994,0,0,0,0,0
138527703.12917504,46125332.51243741,138527690.40137574,46125370.43344907,138527715.85697433,46125294.591425754,138527702.49278507,46125334.40848799,138527703.765565,46125330.61638683,0,0,0,0,0
138527727.96975985,46125340.84992536,138527716.26206166,46125379.09819072,138527739.67745805,46125302.601660006,138527727.38437495,46125342.76233863,138527728.55514476,46125338.93751209,0,0,0,0,0
138527753.15740475,46125348.55980036,138527743.05788702,46125387.26380198,138527763.25692248,46125309.855798736,138527752.65242887,46125350.49500044,138527753.66238064,46125346.62460028,0,0,0,0,0
138527778.8987205,46125355.276802845,138527770.97086677,46125394.48329638,138527786.82657424,46125316.07030931,138527778.50232783,46125357.23712752,138527779.29511318,46125353.31647817,1,138527722.01636988,46125636.58339393,31,2
138527805.400061,46125360.63557719,138527800.2273986,46125400.29971167,138527810.57272342,46125320.97144271,138527805.1414279,46125362.61878391,138527805.65869412,46125358.65237046,0,0,0,0,0
138527832.64994556,46125364.18927765,138527831.08465743,46125404.15863933,138527834.21523368,46125324.21991597,138527832.57168114,46125366.187745735,138527832.72820997,46125362.19080956,0,0,0,0,0
138527860.0225839,46125365.26125038,138527863.19116402,46125405.135554135,138527856.8540038,46125325.38694662,138527860.1810129,46125367.254965566,138527859.8641549,46125363.26753519,0,0,0,0,0
138527886.7846732,46125363.13462205,138527896.03520977,46125402.05026895,138527877.53413665,46125324.21897516,138527887.24720004,46125365.0804044,138527886.3221464,46125361.188839704,0,0,0,0,0
138527912.20291072,46125357.09251935,138527928.8062618,46125393.48384706,138527895.59955963,46125320.70119164,138527913.03307828,46125358.912085734,138527911.37274316,46125355.27295297,0,0,0,0,0
138527935.5564978,46125346.43756857,138527958.83154893,46125378.96866131,138527912.2814467,46125313.90647583,138527936.72025037,46125348.064123206,138527934.39274526,46125344.81101393,1,138528058.33239254,46125518.039082766,44,5
138527956.6737796,46125331.32876735,138527984.01992336,46125360.521033816,138527929.32763585,46125302.13650089,138527958.0410868,46125332.788380675,138527955.30647242,46125329.86915403,0,0,0,0,0
138527976.13524136,46125313.09805095,138528005.49938467,46125340.25955103,138527946.77109805,46125285.93655087,138527977.60344854,46125314.45612596,138527974.66703418,46125311.739975944,0,0,0,0,0
138527994.57573527,46125293.16213782,138528024.54294783,46125319.65678204,138527964.6085227,46125266.667493604,138527996.0740959,46125294.486870036,138527993.07737464,46125291.83740561,0,0,0,0,0
138528012.54564202,46125272.83697284,138528043.36015624,46125298.341202155,138527981.7311278,46125247.332743526,138528014.08636773,46125274.11218431,138528011.0049163,46125271.56176137,1,138528246.73595017,46125466.66911561,48,2
138528029.59193137,46125252.241442606,138528062.4042323,46125275.118350364,138527996.77963045,46125229.36453485,138528031.23254642,46125253.38528799,138528027.95131633,46125251.09759722,1,138527745.76552847,46125054.356190465,47,0
138528044.60388896,46125230.709823266,138528080.20382363,46125248.94837179,138528009.0039543,46125212.47127474,138528046.38388568,46125231.62175069,138528042.82389224,46125229.79789584,1,138528270.66347405,46125346.52460639,30,5
138528056.46156844,46125207.56474599,138528094.5496595,46125219.78347423,138528018.3734774,46125195.346017756,138528058.365973,46125208.1756824,138528054.5571639,46125206.95380958,1,138527751.75684,46125109.81492012,35,3
138528064.49160796,46125182.533591315,138528103.91456273,46125189.303424135,138528025.0686532,46125175.763758495,138528066.4627557,46125182.872082956,138528062.52046022,46125182.195099674,1,138528303.98605826,46125223.66032569,38,0
138528069.0071916,46125156.23786819,138528108.94915506,46125158.39183101,138528029.06522813,46125154.08390537,138528071.00428978,46125156.34556633,138528067.01009342,46125156.13017005,0,0,0,0,0
138528070.4534775,46125129.41869647,138528110.41320914,46125127.624303274,138528030.49374586,46125131.21308967,138528072.4514641,46125129.32897681,138528068.45549092,46125129.50841613,1,138528356.16555876,46125116.58878512,32,5
138528069.2551158,46125102.73211972,138528108.90185496,46125097.42777486,138528029.60837665,46125108.03646457,138528071.23745278,46125102.46690247,138528067.27277884,46125102.99733696,0,0,0,0,0
138528065.7321877,46125076.400383,138528104.84048924,46125068.00152895,138528026.62388614,46125084.79923706,138528067.68760276,46125075.9804403,138528063.77677262,46125076.8203257,0,0,0,0,0
138528060.17153087,46125050.507821694,138528098.60707584,46125039.430417515,138528021.7359859,46125061.58522587,138528062.09330812,46125049.953951485,138528058.24975362,46125051.0616919,1,138527860.30669707,46125108.11032344,32,4
138528052.85996908,46125025.138713785,138528090.5604858,46125011.771925196,138528015.15945235,46125038.50550237,138528054.7449949,46125024.47037435,138528050.97494325,46125025.807053216,1,138528337.4988705,46124924.21945992,46,3
138528044.0795237,46125000.37380295,138528081.00381723,46124984.99210776,138528007.1552302,46125015.75549815,138528045.9257384,46124999.60471819,138528042.23330903,46125001.14288771,0,0,0,0,0
138528034.02024147,46124976.226146564,138528070.1328277,46124959.02495136,138527997.90765524,46124993.42734177,138528035.82587078,46124975.3660868,138528032.21461216,46124977.086206324,1,138528182.081845,46124905.701246224,38,5
138528022.78942302,46124952.6479071,138528058.0835655,46124933.824424274,138527987.49528053,46124971.47138993,138528024.55413014,46124951.70673296,138528021.0247159,46124953.58908124,1,138527731.61274746,46125107.94164042,27,5
138528010.4914188,46124929.58907591,138528044.98683327,46124909.338980086,138527975.99600434,46124949.83917173,138528012.21618953,46124928.576571114,138528008.76664808,46124930.6015807,1,138528309.7391393,46124753.91949465,47,2
138527997.23057932,46124906.99964431,138528030.96937403,46124885.51258469,138527963.4917846,46124928.48670393,138527998.91751906,46124905.92529133,138527995.54363957,46124908.07399729,0,0,0,0,0
